PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080820007     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820007     ,2023/04/28,   1381000,2023/05/18,                    ,Fee conveyance                          ,T12190080                               ,1253656                                 ,        ,        ,5524                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820007     ,1990/11/29,    404250,1991/01/31,0000000000          ,Fee conveyance                          ,1798061                                 ,365424                                  ,        ,        ,202.10                                  ,                                        ,Valid                                   ,X ,Improved
210080820007     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820008     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820008     ,2003/09/24,          ,2004/02/03,                    ,Fee conveyance                          ,3063982                                 ,683274                                  ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
210080820008     ,1990/12/13,    420000,1991/01/31,0000000000          ,Fee conveyance                          ,1798086                                 ,365438                                  ,        ,        ,210.00                                  ,                                        ,Valid                                   ,X ,Improved
210080820008     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820009     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820009     ,2013/12/13,    680000,2013/12/24,                    ,Fee conveyance                          ,T8758026                                ,1071791                                 ,        ,        ,1700                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820009     ,1997/09/01,    235000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid Sale                              ,0 ,Improved
210080820009     ,1996/09/01,    235000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid Sale                              ,0 ,Improved
210080820009     ,1996/08/28,    235000,1996/09/06,0000000000          ,Fee conveyance                          ,2334511                                 ,365426                                  ,        ,        ,235.00                                  ,                                        ,Valid Sale                              ,0 ,
210080820009     ,1990/11/09,    446250,1991/01/31,0000000000          ,Fee conveyance                          ,1798065                                 ,365426                                  ,        ,        ,223.10                                  ,                                        ,Valid Sale                              ,0 ,Improved
210080820009     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid Sale                              ,0 ,
210080820010     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820010     ,2011/12/27,    650000,2012/01/12,                    ,Fee conveyance                          ,T8046123                                ,1037221                                 ,        ,        ,1625                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820010     ,2003/05/15,          ,2003/05/22,                    ,Fee conveyance                          ,2933120                                 ,646973                                  ,        ,        ,0                                       ,Apartment deed                          ,Other                                   ,7 ,Improved
210080820010     ,2003/01/06,    489000,2003/01/13,                    ,Fee conveyance                          ,2880506                                 ,633879                                  ,        ,        ,489                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820010     ,1998/01/12,    245000,1998/01/20,0000000000          ,Fee conveyance                          ,2433302                                 ,504259                                  ,        ,        ,245.00                                  ,                                        ,Valid                                   ,X ,Improved
210080820010     ,1996/10/15,    220000,1996/11/01,0000000000          ,Fee conveyance                          ,2345573                                 ,482859                                  ,        ,        ,220.00                                  ,                                        ,Valid                                   ,X ,Improved
210080820010     ,1990/12/13,    450000,1991/01/31,0000000000          ,Fee conveyance                          ,1798084                                 ,365436                                  ,        ,        ,225.00                                  ,                                        ,Valid                                   ,X ,Improved
210080820010     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820010     ,1990/02/01,    450000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
210080820010     ,1900/01/01,          ,1993/04/02,0000000000          ,                                        ,111208                                  ,315856*                                 ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
210080820011     ,2025/10/22,    999000,2025/10/31,T13087079           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1998                                    ,Apartment deed                          ,Valid Sale                              ,0 ,
210080820011     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820011     ,2015/08/25,          ,2015/08/25,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Correction                              ,Other                                   ,2 ,
210080820011     ,2014/11/07,    608500,2014/11/26,                    ,Fee conveyance                          ,T9095239                                ,1088579                                 ,        ,        ,1521.3                                  ,Apartment deed                          ,Related individuals                     ,4 ,Improved
210080820011     ,2014/06/30,          ,2014/07/03,                    ,Land Court Order (all types)            ,T8949058                                ,919428                                  ,        ,        ,                                        ,Land Court Order (all types)            ,                                        ,  ,
210080820011     ,2008/07/28,          ,2008/08/20,                    ,Fee conveyance                          ,3781499                                 ,919428                                  ,        ,        ,0                                       ,Quitclaim deed                          ,                                        ,  ,
210080820011     ,2004/02/05,          ,2004/03/23,                    ,Fee conveyance                          ,3086989                                 ,689858                                  ,        ,        ,0                                       ,Quitclaim apartment deed                ,                                        ,  ,
210080820011     ,2003/09/12,          ,2003/09/25,                    ,Fee conveyance                          ,2999618                                 ,666260                                  ,        ,        ,0                                       ,Quitclaim apartment deed                ,                                        ,  ,Improved
210080820011     ,1998/03/01,    175000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid Sale                              ,0 ,Improved
210080820011     ,1990/12/13,    320250,1991/01/31,0000000000          ,Fee conveyance                          ,1798073                                 ,365430                                  ,        ,        ,160.10                                  ,                                        ,Valid Sale                              ,0 ,Improved
210080820011     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820011     ,1900/01/01,    175000,1998/04/01,0000000000          ,Fee conveyance                          ,2447344                                 ,507642                                  ,        ,        ,175.00                                  ,                                        ,                                        ,  ,
210080820012     ,2025/01/27,          ,2025/02/10,                    ,Land Court Order (all types)            ,T12824185                               ,                                        ,        ,        ,                                        ,Land Court Order (all types)            ,                                        ,  ,
210080820012     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820012     ,2003/02/21,    350000,2003/02/28,                    ,Fee conveyance                          ,2897624                                 ,638206                                  ,        ,        ,350                                     ,Warranty deed                           ,Valid Sale                              ,0 ,Improved
210080820012     ,2000/02/01,    285000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
210080820012     ,2000/01/27,    285000,2000/02/29,                    ,Fee conveyance                          ,2609512                                 ,549283                                  ,        ,        ,285                                     ,Apartment deed                          ,                                        ,  ,
210080820012     ,1995/12/07,          ,1995/12/19,0000000000          ,Fee conveyance                          ,2278998                                 ,467329                                  ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
210080820012     ,1991/02/28,    325000,1991/04/04,0000000000          ,Fee conveyance                          ,1810715                                 ,367357                                  ,        ,        ,162.50                                  ,                                        ,Valid                                   ,X ,Improved
210080820012     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
