PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080830006     ,2022/03/23,   1650000,2022/03/31,                    ,Fee conveyance                          ,T11777015                               ,1234389                                 ,        ,        ,6600                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830006     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830006     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830006     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830006     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830006     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830006     ,2005/02/10,    799000,2005/02/18,                    ,Fee conveyance                          ,3232299                                 ,735567                                  ,        ,        ,799                                     ,Apartment deed                          ,Other                                   ,7 ,Improved
210080830006     ,2001/06/05,    545000,2001/06/14,                    ,Fee conveyance                          ,2712967                                 ,584119                                  ,        ,        ,545.00                                  ,Deed                                    ,Valid Sale                              ,0 ,Improved
210080830006     ,1997/03/20,    232250,1997/04/01,0000000000          ,Fee conveyance                          ,2372902                                 ,489475                                  ,        ,        ,232.30                                  ,                                        ,Developer sale                          ,8 ,Improved
210080830006     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830007     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
