month,model,observed_median,expected_median,ci_low,ci_high,gap_dollars,gap_pct,portfolio_gap_dollars,is_post_announcement,notes
2023-02,log_linear,1100000,1036706,677478,1586411,63294,6.1053,20001053,no,3-month rolling median; log-linear CAGR pre-announcement
2023-03,log_linear,1200000,1049621,685676,1606743,150379,14.3269,47519655,no,3-month rolling median; log-linear CAGR pre-announcement
2023-04,log_linear,1050000,1062698,693960,1627366,-12698,-1.1949,-4012591,no,3-month rolling median; log-linear CAGR pre-announcement
2023-05,log_linear,,1075938,702331,1648285,,,,no,3-month rolling median; log-linear CAGR pre-announcement
2023-06,log_linear,1175000,1089342,710790,1669504,85658,7.8632,27067830,no,3-month rolling median; log-linear CAGR pre-announcement
2023-07,log_linear,1252500,1102914,719337,1691028,149586,13.5628,47269207,no,3-month rolling median; log-linear CAGR pre-announcement
2023-08,log_linear,1330000,1116655,727973,1712862,213345,19.1058,67417154,no,3-month rolling median; log-linear CAGR pre-announcement
2023-09,log_linear,1330000,1130566,736699,1735010,199434,17.6401,63021005,no,3-month rolling median; log-linear CAGR pre-announcement
2023-10,log_linear,1324000,1144652,745516,1757477,179348,15.6684,56674087,no,3-month rolling median; log-linear CAGR pre-announcement
2023-11,log_linear,1250000,1158912,754424,1780268,91088,7.8598,28783717,no,3-month rolling median; log-linear CAGR pre-announcement
2023-12,log_linear,585750,1173351,763425,1803388,-587601,-50.0789,-185681796,no,3-month rolling median; log-linear CAGR pre-announcement
2024-01,log_linear,585750,1187969,772519,1826842,-602219,-50.6932,-190301151,no,3-month rolling median; log-linear CAGR pre-announcement
2024-02,log_linear,814125,1202769,781707,1850635,-388644,-32.3124,-122811556,no,3-month rolling median; log-linear CAGR pre-announcement
2024-03,log_linear,1327500,1217754,790989,1874772,109746,9.0122,34679771,no,3-month rolling median; log-linear CAGR pre-announcement
2024-04,log_linear,1042500,1232925,800367,1899259,-190425,-15.4450,-60174395,no,3-month rolling median; log-linear CAGR pre-announcement
2024-05,log_linear,1340000,1248286,809842,1924100,91714,7.3472,28981711,yes,3-month rolling median; log-linear CAGR pre-announcement
2024-06,log_linear,907500,1263838,819414,1949301,-356338,-28.1949,-112602655,yes,3-month rolling median; log-linear CAGR pre-announcement
2024-07,log_linear,750000,1279583,829085,1974868,-529583,-41.3872,-167348248,yes,3-month rolling median; log-linear CAGR pre-announcement
2024-08,log_linear,737500,1295525,838854,2000806,-558025,-43.0733,-176335828,yes,3-month rolling median; log-linear CAGR pre-announcement
2024-09,log_linear,837500,1311665,848724,2027121,-474165,-36.1499,-149836170,yes,3-month rolling median; log-linear CAGR pre-announcement
2024-10,log_linear,1000875,1328006,858694,2053818,-327131,-24.6333,-103373554,yes,3-month rolling median; log-linear CAGR pre-announcement
2024-11,log_linear,950000,1344551,868766,2080904,-394551,-29.3445,-124678272,yes,3-month rolling median; log-linear CAGR pre-announcement
2024-12,log_linear,1000000,1361303,878941,2108384,-361303,-26.5409,-114171627,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-01,log_linear,965000,1378262,889219,2136264,-413262,-29.9843,-130590929,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-02,log_linear,980000,1395434,899602,2164550,-415434,-29.7709,-131276999,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-03,log_linear,842500,1412819,910091,2193249,-570319,-40.3674,-180220671,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-04,log_linear,725000,1430420,920686,2222367,-705420,-49.3156,-222912785,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-05,log_linear,725000,1448241,931388,2251909,-723241,-49.9393,-228544196,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-06,log_linear,742250,1466284,942199,2281884,-724034,-49.3788,-228794765,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-07,log_linear,760000,1484552,953119,2312296,-724552,-48.8061,-228958367,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-08,log_linear,1042500,1503047,964150,2343153,-460547,-30.6409,-145532888,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-09,log_linear,1042500,1521773,975292,2374461,-479273,-31.4944,-151450222,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-10,log_linear,1042500,1540732,986546,2406228,-498232,-32.3374,-157441278,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-11,log_linear,,1559927,997914,2438460,,,,yes,3-month rolling median; log-linear CAGR pre-announcement
2025-12,log_linear,770000,1579362,1009396,2471164,-809362,-51.2461,-255758239,yes,3-month rolling median; log-linear CAGR pre-announcement
2026-01,log_linear,770000,1599038,1020993,2504348,-829038,-51.8460,-261976015,yes,3-month rolling median; log-linear CAGR pre-announcement
2026-02,log_linear,770000,1618960,1032707,2538018,-848960,-52.4386,-268271255,yes,3-month rolling median; log-linear CAGR pre-announcement
2026-03,log_linear,874500,1639130,1044539,2572183,-764630,-46.6485,-241622925,yes,3-month rolling median; log-linear CAGR pre-announcement
2026-04,log_linear,807250,1659551,1056489,2606849,-852301,-51.3573,-269327001,yes,3-month rolling median; log-linear CAGR pre-announcement
2026-05,log_linear,800000,1680226,1068559,2642024,-880226,-52.3874,-278151473,yes,3-month rolling median; log-linear CAGR pre-announcement
2026-06,log_linear,770000,1701159,1080750,2677717,-931159,-54.7367,-294246343,yes,3-month rolling median; log-linear CAGR pre-announcement
2026-07,log_linear,800000,1722353,1093063,2713933,-922353,-53.5519,-291463624,yes,3-month rolling median; log-linear CAGR pre-announcement
2026-07,did,800000,,,,,-5.3897,,yes,"DiD log-price change vs controls (221008083, 221008082); approximate % effect on levels"
