scope,tmk,building_value_bucket,series_x,series_y,lag_years,pearson_r,spearman_rho,n_observations,notes
tmk,239004082,834000,transfer_count,median_price_yoy_pct,1,-0.2297,-0.4623,11,bucket turnover leads price change by one year
tmk,239004082,849600,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004082,849600,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004082,879700,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004082,879700,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004082,896300,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
tmk,239004082,896300,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
tmk,239004082,897900,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,897900,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,899000,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,899000,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,950400,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,950400,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,988500,transfer_count,median_price_yoy_pct,0,-0.1311,0.0213,11,bucket turnover vs YoY median price change
tmk,239004082,988500,transfer_count,median_price_yoy_pct,1,-0.1058,-0.1531,11,bucket turnover leads price change by one year
tmk,239004143,ALL,transfer_count,median_price_yoy_pct,0,-0.0132,-0.1560,28,same-year turnover vs YoY median price change
tmk,239004143,ALL,transfer_count,median_price_yoy_pct,1,0.1027,0.0642,28,turnover leads price change by one year
tmk,239004143,ALL,transfer_count,median_price,0,-0.3981,-0.5610,32,same-year turnover vs median price level
tmk,239004143,ALL,transfer_count,price_index,0,-0.3981,-0.5610,32,same-year turnover vs price index
tmk,239004143,1003400,transfer_count,median_price_yoy_pct,0,-0.2429,-0.4117,7,bucket turnover vs YoY median price change
tmk,239004143,1003400,transfer_count,median_price_yoy_pct,1,0.1002,0.7709,7,bucket turnover leads price change by one year
tmk,239004143,1028700,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004143,1028700,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004143,1031000,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004143,1031000,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004143,1127000,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004143,1127000,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004143,1252100,transfer_count,median_price_yoy_pct,0,-0.1944,-0.1543,7,bucket turnover vs YoY median price change
tmk,239004143,1252100,transfer_count,median_price_yoy_pct,1,-0.3527,-0.4038,7,bucket turnover leads price change by one year
tmk,239004143,1279400,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004143,1279400,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004143,1282000,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
tmk,239004143,1282000,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
tmk,239004143,1395100,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
tmk,239004143,1395100,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
tmk,239004143,1399000,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004143,1399000,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004144,ALL,transfer_count,median_price_yoy_pct,0,0.2773,0.3609,34,same-year turnover vs YoY median price change
tmk,239004144,ALL,transfer_count,median_price_yoy_pct,1,0.1830,0.2730,34,turnover leads price change by one year
tmk,239004144,ALL,transfer_count,median_price,0,-0.3367,-0.3211,36,same-year turnover vs median price level
tmk,239004144,ALL,transfer_count,price_index,0,-0.3367,-0.3211,36,same-year turnover vs price index
tmk,239004144,1066700,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
tmk,239004144,1066700,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
tmk,239004144,589600,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004144,589600,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004144,617500,transfer_count,median_price_yoy_pct,0,0.3332,0.4394,18,bucket turnover vs YoY median price change
tmk,239004144,617500,transfer_count,median_price_yoy_pct,1,0.1934,0.2453,18,bucket turnover leads price change by one year
tmk,239004144,624900,transfer_count,median_price_yoy_pct,0,0.0450,0.7379,4,bucket turnover vs YoY median price change
tmk,239004144,624900,transfer_count,median_price_yoy_pct,1,-0.2906,0.2582,4,bucket turnover leads price change by one year
tmk,239004144,656900,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004144,656900,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004144,764200,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004144,764200,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004144,800000,transfer_count,median_price_yoy_pct,0,-0.1006,-0.1453,11,bucket turnover vs YoY median price change
tmk,239004144,800000,transfer_count,median_price_yoy_pct,1,0.1103,0.2109,11,bucket turnover leads price change by one year
tmk,239004144,834000,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004144,834000,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004144,948200,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004144,948200,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
