year,scope,tmk,as_of_date,total_units,hi_pct,non_hi_pct,unknown_pct,non_hi_pct_of_resolved,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,resolved_units,transfer_count,first_transfer_count,newly_resolved_units,tmk_unit_pct,source,notes
2006,collective,,2006/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,14,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2006,tmk,221008083,2006/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,14,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2007,collective,,2007/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,15,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2007,tmk,221008083,2007/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,15,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2008,collective,,2008/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,11,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2008,tmk,221008083,2008/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,11,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2009,collective,,2009/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,11,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2009,tmk,221008083,2009/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,11,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2010,collective,,2010/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,10,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2010,tmk,221008083,2010/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,10,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2011,collective,,2011/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,7,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2011,tmk,221008083,2011/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,7,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2012,collective,,2012/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,11,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2012,tmk,221008083,2012/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,11,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2013,collective,,2013/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,17,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2013,tmk,221008083,2013/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,17,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
