year,scope,tmk,as_of_date,total_units,hi_pct,non_hi_pct,unknown_pct,non_hi_pct_of_resolved,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,resolved_units,transfer_count,first_transfer_count,newly_resolved_units,tmk_unit_pct,source,notes
2017,collective,,2017/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,35,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2017,tmk,239004082,2017/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,29,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2017,tmk,239004143,2017/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2017,tmk,239004144,2017/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,4,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2018,collective,,2018/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,35,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2018,tmk,239004082,2018/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,30,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2018,tmk,239004143,2018/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2018,tmk,239004144,2018/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,3,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2019,collective,,2019/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,35,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2019,tmk,239004082,2019/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,28,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2019,tmk,239004143,2019/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,3,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2019,tmk,239004144,2019/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,4,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2020,collective,,2020/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,31,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2020,tmk,239004082,2020/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,20,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2020,tmk,239004143,2020/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,3,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2020,tmk,239004144,2020/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,8,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2021,collective,,2021/12/31,316,15.0316,84.6519,0.3165,84.9206,0,0.0000,316,100.0000,47,267,1,1,315,46,1,1,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2021,tmk,239004082,2021/12/31,240,16.8750,82.7083,0.4167,83.0544,0,0.0000,240,100.0000,40,198,1,1,239,36,1,1,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2021,tmk,239004143,2021/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2021,tmk,239004144,2021/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,8,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2022,collective,,2022/12/31,316,15.0316,84.6519,0.3165,84.9206,0,0.0000,316,100.0000,47,267,1,1,315,27,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2022,tmk,239004082,2022/12/31,240,16.8750,82.7083,0.4167,83.0544,0,0.0000,240,100.0000,40,198,1,1,239,18,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2022,tmk,239004143,2022/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,3,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2022,tmk,239004144,2022/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,6,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2023,collective,,2023/12/31,316,15.0316,84.6519,0.3165,84.9206,0,0.0000,316,100.0000,47,267,1,1,315,24,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2023,tmk,239004082,2023/12/31,240,16.8750,82.7083,0.4167,83.0544,0,0.0000,240,100.0000,40,198,1,1,239,17,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2023,tmk,239004143,2023/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2023,tmk,239004144,2023/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,5,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2024,collective,,2024/12/31,316,15.0316,84.6519,0.3165,84.9206,0,0.0000,316,100.0000,47,267,1,1,315,27,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2024,tmk,239004082,2024/12/31,240,16.8750,82.7083,0.4167,83.0544,0,0.0000,240,100.0000,40,198,1,1,239,24,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2024,tmk,239004143,2024/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2024,tmk,239004144,2024/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,1,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2025,collective,,2025/12/31,316,15.0316,84.6519,0.3165,84.9206,0,0.0000,316,100.0000,47,267,1,1,315,17,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2025,tmk,239004082,2025/12/31,240,16.8750,82.7083,0.4167,83.0544,0,0.0000,240,100.0000,40,198,1,1,239,15,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2025,tmk,239004143,2025/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,0,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2025,tmk,239004144,2025/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,2,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2026,collective,,2026/12/31,316,15.0316,84.6519,0.3165,84.9206,0,0.0000,316,100.0000,47,267,1,1,315,10,0,0,100.0000,fullownr_snapshot,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2026,tmk,239004082,2026/12/31,240,16.8750,82.7083,0.4167,83.0544,0,0.0000,240,100.0000,40,198,1,1,239,10,0,0,75.9494,fullownr_snapshot,TMK 239004082 share of active collective portfolio at year-end
2026,tmk,239004143,2026/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,0,0,0,8.8608,fullownr_snapshot,TMK 239004143 share of active collective portfolio at year-end
2026,tmk,239004144,2026/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,0,0,0,15.1899,fullownr_snapshot,TMK 239004144 share of active collective portfolio at year-end
