DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,MULTIPLE CLASS FLAG,STREET NUMBER PRE,STREET NUMBER,ADDITIONAL STREET NUMBER,STREET DIRECTION,STREET,STREET NAME SUFFIX,UNIT DESCRIPTION,UNIT,PARCEL ACRES,NEIGHBORHOOD CODE
2,3,9,004,082,0168,2026,,,2777,,S,KIHEI,RD,UNIT,L 108,,C396
2,3,9,004,082,0169,2026,,,2777,,S,KIHEI,RD,UNIT,L 109,,C396
2,3,9,004,082,0170,2026,,,2777,,S,KIHEI,RD,UNIT,L 110,,C396
2,3,9,004,082,0171,2026,,,2777,,S,KIHEI,RD,UNIT,L 201,,C396
2,3,9,004,082,0172,2026,,,2777,,S,KIHEI,RD,UNIT,L 202,,C396
2,3,9,004,082,0173,2026,,,2777,,S,KIHEI,RD,UNIT,L 203,,C396
2,3,9,004,082,0174,2026,,,2777,,S,KIHEI,RD,UNIT,L 204,,C396
2,3,9,004,082,0175,2026,,,2777,,S,KIHEI,RD,UNIT,L 205,,C396
2,3,9,004,082,0176,2026,,,2777,,S,KIHEI,RD,UNIT,L 206,,C396
2,3,9,004,082,0177,2026,,,2777,,S,KIHEI,RD,UNIT,L 207,,C396
2,3,9,004,082,0178,2026,,,2777,,S,KIHEI,RD,UNIT,L 208,,C396
2,3,9,004,082,0179,2026,,,2777,,S,KIHEI,RD,UNIT,L 209,,C396
2,3,9,004,082,0180,2026,,,2777,,S,KIHEI,RD,UNIT,L 210,,C396
2,3,9,004,082,0181,2026,,,2777,,S,KIHEI,RD,UNIT,K 101,,C396
2,3,9,004,082,0182,2026,,,2777,,S,KIHEI,RD,UNIT,K 102,,C396
2,3,9,004,082,0183,2026,,,2777,,S,KIHEI,RD,UNIT,K 103,,C396
2,3,9,004,082,0184,2026,,,2777,,S,KIHEI,RD,UNIT,K 104,,C396
2,3,9,004,082,0185,2026,,,2777,,S,KIHEI,RD,UNIT,K 105,,C396
2,3,9,004,082,0186,2026,,,2777,,S,KIHEI,RD,UNIT,K 106,,C396
2,3,9,004,082,0187,2026,,,2777,,S,KIHEI,RD,UNIT,K 107,,C396
2,3,9,004,082,0188,2026,,,2777,,S,KIHEI,RD,UNIT,K 108,,C396
2,3,9,004,082,0189,2026,,,2777,,S,KIHEI,RD,UNIT,K 109,,C396
2,3,9,004,082,0190,2026,,,2777,,S,KIHEI,RD,UNIT,K 110,,C396
2,3,9,004,082,0191,2026,,,2777,,S,KIHEI,RD,UNIT,K 201,,C396
2,3,9,004,082,0192,2026,,,2777,,S,KIHEI,RD,UNIT,K 202,,C396
2,3,9,004,082,0193,2026,,,2777,,S,KIHEI,RD,UNIT,K 203,,C396
2,3,9,004,082,0194,2026,,,2777,,S,KIHEI,RD,UNIT,K 204,,C396
2,3,9,004,082,0195,2026,,,2777,,S,KIHEI,RD,UNIT,K 205,,C396
2,3,9,004,082,0196,2026,,,2777,,S,KIHEI,RD,UNIT,K 206,,C396
2,3,9,004,082,0197,2026,,,2777,,S,KIHEI,RD,UNIT,K 207,,C396
2,3,9,004,082,0198,2026,,,2777,,S,KIHEI,RD,UNIT,K 208,,C396
2,3,9,004,082,0199,2026,,,2777,,S,KIHEI,RD,UNIT,K 209,,C396
2,3,9,004,082,0200,2026,,,2777,,S,KIHEI,RD,UNIT,K 210,,C396
2,3,9,004,082,0201,2026,,,2777,,S,KIHEI,RD,UNIT,M 101,,C396
2,3,9,004,082,0202,2026,,,2777,,S,KIHEI,RD,UNIT,M 102,,C396
2,3,9,004,082,0203,2026,,,2777,,S,KIHEI,RD,UNIT,M 103,,C396
2,3,9,004,082,0204,2026,,,2777,,S,KIHEI,RD,UNIT,M 104,,C396
2,3,9,004,082,0205,2026,,,2777,,S,KIHEI,RD,UNIT,M 105,,C396
2,3,9,004,082,0206,2026,,,2777,,S,KIHEI,RD,UNIT,M 106,,C396
2,3,9,004,082,0207,2026,,,2777,,S,KIHEI,RD,UNIT,M 107,,C396
2,3,9,004,082,0208,2026,,,2777,,S,KIHEI,RD,UNIT,M 108,,C396
2,3,9,004,082,0209,2026,,,2777,,S,KIHEI,RD,UNIT,M 109,,C396
2,3,9,004,082,0210,2026,,,2777,,S,KIHEI,RD,UNIT,M 110,,C396
2,3,9,004,082,0211,2026,,,2777,,S,KIHEI,RD,UNIT,M 201,,C396
2,3,9,004,082,0212,2026,,,2777,,S,KIHEI,RD,UNIT,M 202,,C396
2,3,9,004,082,0213,2026,,,2777,,S,KIHEI,RD,UNIT,M 203,,C396
2,3,9,004,082,0214,2026,,,2777,,S,KIHEI,RD,UNIT,M 204,,C396
2,3,9,004,082,0215,2026,,,2777,,S,KIHEI,RD,UNIT,M 205,,C396
2,3,9,004,082,0216,2026,,,2777,,S,KIHEI,RD,UNIT,M 206,,C396
2,3,9,004,082,0217,2026,,,2777,,S,KIHEI,RD,UNIT,M 207,,C396
2,3,9,004,082,0218,2026,,,2777,,S,KIHEI,RD,UNIT,M 208,,C396
2,3,9,004,082,0219,2026,,,2777,,S,KIHEI,RD,UNIT,M 209,,C396
2,3,9,004,082,0220,2026,,,2777,,S,KIHEI,RD,UNIT,M 210,,C396
2,3,9,004,082,0221,2026,,,2777,,S,KIHEI,RD,UNIT,F 101,,C396
2,3,9,004,082,0222,2026,,,2777,,S,KIHEI,RD,UNIT,F 102,,C396
2,3,9,004,082,0223,2026,,,2777,,S,KIHEI,RD,UNIT,F 103,,C396
2,3,9,004,082,0224,2026,,,2777,,S,KIHEI,RD,UNIT,F 104,,C396
2,3,9,004,082,0225,2026,,,2777,,S,KIHEI,RD,UNIT,F 105,,C396
2,3,9,004,082,0226,2026,,,2777,,S,KIHEI,RD,UNIT,F 106,,C396
2,3,9,004,082,0227,2026,,,2777,,S,KIHEI,RD,UNIT,F 107,,C396
2,3,9,004,082,0228,2026,,,2777,,S,KIHEI,RD,UNIT,F 108,,C396
2,3,9,004,082,0229,2026,,,2777,,S,KIHEI,RD,UNIT,F 109,,C396
2,3,9,004,082,0230,2026,,,2777,,S,KIHEI,RD,UNIT,F 110,,C396
2,3,9,004,082,0231,2026,,,2777,,S,KIHEI,RD,UNIT,F 201,,C396
2,3,9,004,082,0232,2026,,,2777,,S,KIHEI,RD,UNIT,F 202,,C396
2,3,9,004,082,0233,2026,,,2777,,S,KIHEI,RD,UNIT,F 203,,C396
2,3,9,004,082,0234,2026,,,2777,,S,KIHEI,RD,UNIT,F 204,,C396
2,3,9,004,082,0235,2026,,,2777,,S,KIHEI,RD,UNIT,F 205,,C396
2,3,9,004,082,0236,2026,,,2777,,S,KIHEI,RD,UNIT,F 206,,C396
2,3,9,004,082,0237,2026,,,2777,,S,KIHEI,RD,UNIT,F 207,,C396
2,3,9,004,082,0238,2026,,,2777,,S,KIHEI,RD,UNIT,F 208,,C396
2,3,9,004,082,0239,2026,,,2777,,S,KIHEI,RD,UNIT,F 209,,C396
2,3,9,004,082,0240,2026,,,2777,,S,KIHEI,RD,UNIT,F 210,,C396
2,3,9,004,143,0000,2026,,,2777,,S,KIHEI,RD,,,,C396
2,3,9,004,143,0001,2026,,,2777,,S,KIHEI,RD,UNIT,A101,,C396
2,3,9,004,143,0002,2026,,,2777,,S,KIHEI,RD,UNIT,A102,,C396
2,3,9,004,143,0003,2026,,,2777,,S,KIHEI,RD,UNIT,A103,,C396
2,3,9,004,143,0004,2026,,,2777,,S,KIHEI,RD,UNIT,A104,,C396
2,3,9,004,143,0005,2026,,,2777,,S,KIHEI,RD,UNIT,A105,,C396
2,3,9,004,143,0006,2026,,,2777,,S,KIHEI,RD,UNIT,A106,,C396
2,3,9,004,143,0007,2026,,,2777,,S,KIHEI,RD,UNIT,A107,,C396
2,3,9,004,143,0008,2026,,,2777,,S,KIHEI,RD,UNIT,A108,,C396
2,3,9,004,143,0009,2026,,,2777,,S,KIHEI,RD,UNIT,A109,,C396
2,3,9,004,143,0010,2026,,,2777,,S,KIHEI,RD,UNIT,A110,,C396
2,3,9,004,143,0011,2026,,,2777,,S,KIHEI,RD,UNIT,A111,,C396
2,3,9,004,143,0012,2026,,,2777,,S,KIHEI,RD,UNIT,A112,,C396
2,3,9,004,143,0013,2026,,,2777,,S,KIHEI,RD,UNIT,A114,,C396
2,3,9,004,143,0014,2026,,,2777,,S,KIHEI,RD,UNIT,A115,,C396
2,3,9,004,143,0015,2026,,,2777,,S,KIHEI,RD,UNIT,A201,,C396
2,3,9,004,143,0016,2026,,,2777,,S,KIHEI,RD,UNIT,A202,,C396
2,3,9,004,143,0017,2026,,,2777,,S,KIHEI,RD,UNIT,A203,,C396
2,3,9,004,143,0018,2026,,,2777,,S,KIHEI,RD,UNIT,A204,,C396
2,3,9,004,143,0019,2026,,,2777,,S,KIHEI,RD,UNIT,A205,,C396
2,3,9,004,143,0020,2026,,,2777,,S,KIHEI,RD,UNIT,A206,,C396
2,3,9,004,143,0021,2026,,,2777,,S,KIHEI,RD,UNIT,A207,,C396
2,3,9,004,143,0022,2026,,,2777,,S,KIHEI,RD,UNIT,A208,,C396
2,3,9,004,143,0023,2026,,,2777,,S,KIHEI,RD,UNIT,A209,,C396
2,3,9,004,143,0024,2026,,,2777,,S,KIHEI,RD,UNIT,A210,,C396
2,3,9,004,143,0025,2026,,,2777,,S,KIHEI,RD,UNIT,A211,,C396
2,3,9,004,143,0026,2026,,,2777,,S,KIHEI,RD,UNIT,A212,,C396
2,3,9,004,143,0027,2026,,,2777,,S,KIHEI,RD,UNIT,A214,,C396
2,3,9,004,143,0028,2026,,,2777,,S,KIHEI,RD,UNIT,A215,,C396
2,3,9,004,144,0000,2026,,,2777,,S,KIHEI,RD,,,,C396
2,3,9,004,144,0001,2026,,,2777,,S,KIHEI,RD,UNIT,B101,,C396
2,3,9,004,144,0002,2026,,,2777,,S,KIHEI,RD,UNIT,B102,,C396
2,3,9,004,144,0003,2026,,,2777,,S,KIHEI,RD,UNIT,B103,,C396
2,3,9,004,144,0004,2026,,,2777,,S,KIHEI,RD,UNIT,B104,,C396
2,3,9,004,144,0005,2026,,,2777,,S,KIHEI,RD,UNIT,B105,,C396
2,3,9,004,144,0006,2026,,,2777,,S,KIHEI,RD,UNIT,B106,,C396
2,3,9,004,144,0007,2026,,,2777,,S,KIHEI,RD,UNIT,B107,,C396
2,3,9,004,144,0008,2026,,,2777,,S,KIHEI,RD,UNIT,B108,,C396
2,3,9,004,144,0009,2026,,,2777,,S,KIHEI,RD,UNIT,B109,,C396
2,3,9,004,144,0010,2026,,,2777,,S,KIHEI,RD,UNIT,B110,,C396
2,3,9,004,144,0011,2026,,,2777,,S,KIHEI,RD,UNIT,B111,,C396
2,3,9,004,144,0012,2026,,,2777,,S,KIHEI,RD,UNIT,B112,,C396
2,3,9,004,144,0013,2026,,,2777,,S,KIHEI,RD,UNIT,B114,,C396
2,3,9,004,144,0014,2026,,,2777,,S,KIHEI,RD,UNIT,B115,,C396
2,3,9,004,144,0015,2026,,,2777,,S,KIHEI,RD,UNIT,B201,,C396
2,3,9,004,144,0016,2026,,,2777,,S,KIHEI,RD,UNIT,B202,,C396
2,3,9,004,144,0017,2026,,,2777,,S,KIHEI,RD,UNIT,B203,,C396
2,3,9,004,144,0018,2026,,,2777,,S,KIHEI,RD,UNIT,B204,,C396
2,3,9,004,144,0019,2026,,,2777,,S,KIHEI,RD,UNIT,B205,,C396
2,3,9,004,144,0020,2026,,,2777,,S,KIHEI,RD,UNIT,B206,,C396
2,3,9,004,144,0021,2026,,,2777,,S,KIHEI,RD,UNIT,B207,,C396
2,3,9,004,144,0022,2026,,,2777,,S,KIHEI,RD,UNIT,B208,,C396
